"HU2017"
"Alabama",2231126
"Alaska",313937
"Arizona",2941894
"Arkansas",1353745
"California",13996299
"Colorado",2319737
"Connecticut",1507711
"Delaware",423489
"District of Columbia",308161
"Florida",9259684
"Georgia",4203288
"Hawaii",535543
"Idaho",701196
"Illinois",5334847
"Indiana",2855378
"Iowa",1376133
"Kansas",1259647
"Kentucky",1965202
"Louisiana",2031064
"Maine",735711
"Maryland",2427014
"Massachusetts",2864989
"Michigan",4568200
"Minnesota",2404624
"Mississippi",1308259
"Missouri",2763250
"Montana",501099
"Nebraska",824176
"Nevada",1220422
"New Hampshire",627619
"New Jersey",3595055
"New Mexico",927790
"New York",8255911
"North Carolina",4521697
"North Dakota",360660
"Ohio",5174838
"Oklahoma",1712841
"Oregon",1733041
"Pennsylvania",5653599
"Rhode Island",466670
"South Carolina",2229324
"South Dakota",382912
"Tennessee",2903199
"Texas",10611386
"Utah",1046597
"Vermont",331106
"Virginia",3466921
"Washington",3025516
"West Virginia",889277
"Wisconsin",2668692
"Wyoming",273088
"Puerto Rico",1567300
